Atom Num Conju-All Ratio,AtomWt Conju-All Ratio,Atom_PEOE-Charge_Sum,Atom_LogP_Sum,Atom_MR_Sum,Atom_PEOE-Charge_Mean,Atom_LogP_Mean,Atom_MR_Mean,Atom_PEOE-Charge_Std,Atom_LogP_Std,Atom_MR_Std,Atom_PEOE-Charge_Max,Atom_LogP_Max,Atom_MR_Max,Atom_PEOE-Charge_Min,Atom_LogP_Min,Atom_MR_Min,Atom_PEOE-Charge_Delta,Atom_LogP_Delta,Atom_MR_Delta
0.833333333,0.818859616,5.55E-17,2.3274,66.6265,1.85E-18,0.07758,2.220883333,0.15787637,0.198696808,1.347703749,0.354164449,0.6895,5.853,-0.464356471,-0.3239,0.2215,0.818520919,1.0134,5.6315
0.833333333,0.818859616,5.55E-17,2.3274,66.6265,1.85E-18,0.07758,2.220883333,0.15787637,0.198696808,1.347703749,0.354164449,0.6895,5.853,-0.464356471,-0.3239,0.2215,0.818520919,1.0134,5.6315
0.833333333,0.818859616,5.55E-17,2.3274,66.6265,1.85E-18,0.07758,2.220883333,0.15787637,0.198696808,1.347703749,0.354164449,0.6895,5.853,-0.464356471,-0.3239,0.2215,0.818520919,1.0134,5.6315
0.833333333,0.818859616,5.55E-17,2.3274,66.6265,1.85E-18,0.07758,2.220883333,0.15787637,0.198696808,1.347703749,0.354164449,0.6895,5.853,-0.464356471,-0.3239,0.2215,0.818520919,1.0134,5.6315
0.833333333,0.818859616,5.55E-17,2.3274,66.6265,1.85E-18,0.07758,2.220883333,0.15787637,0.198696808,1.347703749,0.354164449,0.6895,5.853,-0.464356471,-0.3239,0.2215,0.818520919,1.0134,5.6315
0.833333333,0.818859616,5.55E-17,2.3274,66.6265,1.85E-18,0.07758,2.220883333,0.15787637,0.198696808,1.347703749,0.354164449,0.6895,5.853,-0.464356471,-0.3239,0.2215,0.818520919,1.0134,5.6315
0.833333333,0.818859616,5.55E-17,2.3274,66.6265,1.85E-18,0.07758,2.220883333,0.15787637,0.198696808,1.347703749,0.354164449,0.6895,5.853,-0.464356471,-0.3239,0.2215,0.818520919,1.0134,5.6315
0.833333333,0.818859616,5.55E-17,2.3274,66.6265,1.85E-18,0.07758,2.220883333,0.15787637,0.198696808,1.347703749,0.354164449,0.6895,5.853,-0.464356471,-0.3239,0.2215,0.818520919,1.0134,5.6315
0.833333333,0.818859616,5.55E-17,2.3274,66.6265,1.85E-18,0.07758,2.220883333,0.15787637,0.198696808,1.347703749,0.354164449,0.6895,5.853,-0.464356471,-0.3239,0.2215,0.818520919,1.0134,5.6315
0.833333333,0.818859616,5.55E-17,2.3274,66.6265,1.85E-18,0.07758,2.220883333,0.15787637,0.198696808,1.347703749,0.354164449,0.6895,5.853,-0.464356471,-0.3239,0.2215,0.818520919,1.0134,5.6315
0.833333333,0.818859616,5.55E-17,2.3274,66.6265,1.85E-18,0.07758,2.220883333,0.15787637,0.198696808,1.347703749,0.354164449,0.6895,5.853,-0.464356471,-0.3239,0.2215,0.818520919,1.0134,5.6315
0.833333333,0.818859616,5.55E-17,2.3274,66.6265,1.85E-18,0.07758,2.220883333,0.15787637,0.198696808,1.347703749,0.354164449,0.6895,5.853,-0.464356471,-0.3239,0.2215,0.818520919,1.0134,5.6315
0.833333333,0.818859616,5.55E-17,2.3274,66.6265,1.85E-18,0.07758,2.220883333,0.15787637,0.198696808,1.347703749,0.354164449,0.6895,5.853,-0.464356471,-0.3239,0.2215,0.818520919,1.0134,5.6315
0.833333333,0.818859616,5.55E-17,2.3274,66.6265,1.85E-18,0.07758,2.220883333,0.15787637,0.198696808,1.347703749,0.354164449,0.6895,5.853,-0.464356471,-0.3239,0.2215,0.818520919,1.0134,5.6315
0.833333333,0.818859616,5.55E-17,2.3274,66.6265,1.85E-18,0.07758,2.220883333,0.15787637,0.198696808,1.347703749,0.354164449,0.6895,5.853,-0.464356471,-0.3239,0.2215,0.818520919,1.0134,5.6315
0.833333333,0.818859616,5.55E-17,2.3274,66.6265,1.85E-18,0.07758,2.220883333,0.15787637,0.198696808,1.347703749,0.354164449,0.6895,5.853,-0.464356471,-0.3239,0.2215,0.818520919,1.0134,5.6315
0.833333333,0.818859616,5.55E-17,2.3274,66.6265,1.85E-18,0.07758,2.220883333,0.15787637,0.198696808,1.347703749,0.354164449,0.6895,5.853,-0.464356471,-0.3239,0.2215,0.818520919,1.0134,5.6315
0.833333333,0.818859616,5.55E-17,2.3274,66.6265,1.85E-18,0.07758,2.220883333,0.15787637,0.198696808,1.347703749,0.354164449,0.6895,5.853,-0.464356471,-0.3239,0.2215,0.818520919,1.0134,5.6315
0.833333333,0.818859616,5.55E-17,2.3274,66.6265,1.85E-18,0.07758,2.220883333,0.15787637,0.198696808,1.347703749,0.354164449,0.6895,5.853,-0.464356471,-0.3239,0.2215,0.818520919,1.0134,5.6315
0.833333333,0.818859616,5.55E-17,2.3274,66.6265,1.85E-18,0.07758,2.220883333,0.15787637,0.198696808,1.347703749,0.354164449,0.6895,5.853,-0.464356471,-0.3239,0.2215,0.818520919,1.0134,5.6315
0.833333333,0.818859616,5.55E-17,2.3274,66.6265,1.85E-18,0.07758,2.220883333,0.15787637,0.198696808,1.347703749,0.354164449,0.6895,5.853,-0.464356471,-0.3239,0.2215,0.818520919,1.0134,5.6315
0.833333333,0.818859616,5.55E-17,2.3274,66.6265,1.85E-18,0.07758,2.220883333,0.15787637,0.198696808,1.347703749,0.354164449,0.6895,5.853,-0.464356471,-0.3239,0.2215,0.818520919,1.0134,5.6315
0.833333333,0.818859616,5.55E-17,2.3274,66.6265,1.85E-18,0.07758,2.220883333,0.15787637,0.198696808,1.347703749,0.354164449,0.6895,5.853,-0.464356471,-0.3239,0.2215,0.818520919,1.0134,5.6315
0.833333333,0.818859616,5.55E-17,2.3274,66.6265,1.85E-18,0.07758,2.220883333,0.15787637,0.198696808,1.347703749,0.354164449,0.6895,5.853,-0.464356471,-0.3239,0.2215,0.818520919,1.0134,5.6315
0.833333333,0.818859616,5.55E-17,2.3274,66.6265,1.85E-18,0.07758,2.220883333,0.15787637,0.198696808,1.347703749,0.354164449,0.6895,5.853,-0.464356471,-0.3239,0.2215,0.818520919,1.0134,5.6315
0.833333333,0.818859616,5.55E-17,2.3274,66.6265,1.85E-18,0.07758,2.220883333,0.15787637,0.198696808,1.347703749,0.354164449,0.6895,5.853,-0.464356471,-0.3239,0.2215,0.818520919,1.0134,5.6315
0.833333333,0.818859616,5.55E-17,2.3274,66.6265,1.85E-18,0.07758,2.220883333,0.15787637,0.198696808,1.347703749,0.354164449,0.6895,5.853,-0.464356471,-0.3239,0.2215,0.818520919,1.0134,5.6315
0.833333333,0.818859616,5.55E-17,2.3274,66.6265,1.85E-18,0.07758,2.220883333,0.15787637,0.198696808,1.347703749,0.354164449,0.6895,5.853,-0.464356471,-0.3239,0.2215,0.818520919,1.0134,5.6315
0.833333333,0.818859616,5.55E-17,2.3274,66.6265,1.85E-18,0.07758,2.220883333,0.15787637,0.198696808,1.347703749,0.354164449,0.6895,5.853,-0.464356471,-0.3239,0.2215,0.818520919,1.0134,5.6315
0.842105263,0.812190506,5.55E-17,1.54568,66.3315,1.79E-18,0.049860645,2.139725806,0.161338157,0.157725239,1.191003479,0.354164449,0.1581,5.007,-0.464356471,-0.3239,0.2215,0.818520919,0.482,4.7855
0.789473684,0.772258058,4.44E-16,2.3959,73.3975,1.31E-17,0.070467647,2.15875,0.148296301,0.188141111,1.462785951,0.354164449,0.6482,7.591,-0.464356471,-0.3239,0.2215,0.818520919,0.9721,7.3695
0.789473684,0.758252609,-3.05E-16,1.6826,68.1685,-8.98E-18,0.049488235,2.004955882,0.172794211,0.195888427,1.163132108,0.354164449,0.5437,5.007,-0.466803423,-0.4195,0.2215,0.820967872,0.9632,4.7855
0.666666667,0.608577386,4.30E-16,2.6928,66.6185,1.30E-17,0.0816,2.018742424,0.177587069,0.188080868,1.150038169,0.451003973,0.4202,5.007,-0.464356471,-0.3239,0.2215,0.915360444,0.7441,4.7855
0.842105263,0.807514974,-1.11E-16,2.15068,68.5365,-3.47E-18,0.06720875,2.141765625,0.150786018,0.141303339,1.206832314,0.354164441,0.1581,5.007,-0.464356471,-0.3239,0.2215,0.818520912,0.482,4.7855
0.85,0.833878684,-2.22E-16,2.80408,73.5465,-6.94E-18,0.0876275,2.298328125,0.151088016,0.179676176,1.357632381,0.354164441,0.6895,5.853,-0.464356471,-0.3239,0.2215,0.818520912,1.0134,5.6315
