Atom Num Conju-All Ratio,AtomWt Conju-All Ratio,Atom_PEOE-Charge_Sum,Atom_LogP_Sum,Atom_MR_Sum,Atom_PEOE-Charge_Mean,Atom_LogP_Mean,Atom_MR_Mean,Atom_PEOE-Charge_Std,Atom_LogP_Std,Atom_MR_Std,Atom_PEOE-Charge_Max,Atom_LogP_Max,Atom_MR_Max,Atom_PEOE-Charge_Min,Atom_LogP_Min,Atom_MR_Min,Atom_PEOE-Charge_Delta,Atom_LogP_Delta,Atom_MR_Delta
0.75,0.712146371,-4.02E-16,3.0664,94.642,-9.15E-18,0.069690909,2.150954545,0.140185608,0.133125569,1.190544622,0.27299654,0.1836,5.007,-0.47181579,-0.2783,1.057,0.744812331,0.4619,3.95
0.375,0.374643341,-5.55E-17,1.893,64.026,-1.54E-18,0.052583333,1.7785,0.149396068,0.137914258,1.050574036,0.272994959,0.1836,5.007,-0.471817573,-0.2783,1.057,0.744812531,0.4619,3.95
0.272727273,0.276033557,5.97E-16,3.7416,87.5,1.19E-17,0.074832,1.75,0.128271188,0.122466488,0.969605033,0.272995314,0.1836,5.007,-0.471817169,-0.2783,1.057,0.744812482,0.4619,3.95
0.333333333,0.332995189,-1.39E-16,2.6732,73.26,-3.30E-18,0.063647619,1.744285714,0.138932578,0.130582521,1.009671005,0.273005577,0.1836,5.007,-0.471805834,-0.2783,1.057,0.744811411,0.4619,3.95
0.818181818,0.780486971,4.09E-16,3.3264,85.14,1.08E-17,0.087536842,2.240526316,0.15068371,0.123628885,1.222003505,0.273349887,0.1836,5.007,-0.471446199,-0.2783,1.057,0.744796087,0.4619,3.95
0.769230769,0.738284287,1.53E-16,3.3436,98.244,3.32E-18,0.072686957,2.13573913,0.174107827,0.190278483,1.209989695,0.273349888,0.5437,5.007,-0.496794368,-0.4195,1.057,0.770144256,0.9632,3.95
0.6,0.563993929,-2.08E-16,5.9214,122.54,-3.36E-18,0.095506452,1.976451613,0.119047249,0.104634688,1.108820205,0.273349887,0.1836,5.007,-0.471446199,-0.2783,1.057,0.744796087,0.4619,3.95
0.75,0.721222658,1.67E-16,3.1758,90.39,4.16E-18,0.079395,2.25975,0.145612989,0.12384155,1.199634106,0.273665026,0.1836,5.007,-0.467769572,-0.2783,1.057,0.741434598,0.4619,3.95
0.625,0.589483276,1.39E-17,4.8902,132.802,2.10E-19,0.074093939,2.012151515,0.12683104,0.201303895,1.141974131,0.171776787,0.5437,5.007,-0.496792043,-0.4458,1.057,0.66856883,0.9895,3.95
0.625,0.589483276,-6.66E-16,4.8902,132.802,-1.01E-17,0.074093939,2.012151515,0.128265729,0.201303895,1.141974131,0.171882847,0.5437,5.007,-0.4945964,-0.4458,1.057,0.666479247,0.9895,3.95
0.5,0.460570973,-2.91E-16,7.468,157.098,-3.55E-18,0.091073171,1.915829268,0.081543769,0.14366972,1.068204532,0.171776914,0.4619,5.007,-0.321420796,-0.4458,1.057,0.49319771,0.9077,3.95
0.409090909,0.374282929,-9.16E-16,10.5888,194.034,-8.64E-18,0.09989434,1.830509434,0.074003648,0.127498308,1.006370887,0.171777265,0.4619,5.007,-0.321420407,-0.4458,1.057,0.493197672,0.9077,3.95
0.333333333,0.322296215,2.01E-16,1.4774,75.268,4.79E-18,0.03517619,1.792095238,0.109591061,0.159569811,1.008920116,0.166964661,0.1836,5.007,-0.349912408,-0.3187,1.057,0.516877069,0.5023,3.95
0.285714286,0.275602073,2.64E-16,2.5036,89.049,5.17E-18,0.049090196,1.746058824,0.100384176,0.148904282,0.963126698,0.1669214,0.1836,5.007,-0.351084611,-0.3187,1.057,0.51800601,0.5023,3.95
0.6,0.568254248,-1.39E-17,2.2731,59.969,-4.48E-19,0.073325806,1.934483871,0.126310144,0.134450838,1.074831566,0.235249838,0.1836,5.007,-0.474088643,-0.3239,1.057,0.70933848,0.5075,3.95
0.6,0.568254248,-1.39E-17,2.2731,59.969,-4.48E-19,0.073325806,1.934483871,0.126310144,0.134450838,1.074831566,0.235249838,0.1836,5.007,-0.474088643,-0.3239,1.057,0.70933848,0.5075,3.95
0.833333333,0.789563137,2.78E-16,2.4697,70.66,8.67E-18,0.077178125,2.208125,0.127669079,0.135789602,1.165423897,0.235240974,0.1836,5.007,-0.474098597,-0.3239,1.057,0.709339571,0.5075,3.95
0.833333333,0.796300058,-2.22E-16,2.5244,68.534,-7.40E-18,0.084146667,2.284466667,0.130790752,0.129652319,1.167177271,0.235884995,0.1836,5.007,-0.470052783,-0.3239,1.057,0.705937778,0.5075,3.95
0.833333333,0.796300058,-2.22E-16,2.5244,68.534,-7.40E-18,0.084146667,2.284466667,0.130790752,0.129652319,1.167177271,0.235884995,0.1836,5.007,-0.470052783,-0.3239,1.057,0.705937778,0.5075,3.95
0.8,0.766594067,3.19E-16,2.533,75.086,9.39E-18,0.0745,2.208411765,0.1520753,0.175421144,1.168780866,0.23602924,0.5437,5.007,-0.496649743,-0.4195,1.057,0.732678983,0.9632,3.95
0.612903226,0.577194693,1.11E-16,5.8132,127.6307,1.73E-18,0.09083125,1.994229687,0.124163714,0.150935891,1.134884743,0.218177261,0.4619,5.007,-0.475136011,-0.5188,0.9627,0.693313272,0.9807,4.0443
0.885714286,0.844321612,8.33E-17,6.3573,139.1487,1.44E-18,0.109608621,2.399115517,0.133068518,0.128182052,1.27076435,0.218532686,0.2955,5.007,-0.474776376,-0.3239,0.9627,0.693309062,0.6194,4.0443
0.655172414,0.621755126,4.44E-16,4.9239,118.0347,7.93E-18,0.087926786,2.1077625,0.13146739,0.141997447,1.23060417,0.218190349,0.2955,5.007,-0.475147484,-0.3239,0.9627,0.693337833,0.6194,4.0443
0.612903226,0.579981463,3.33E-16,5.7041,127.2687,5.37E-18,0.092001613,2.052720968,0.125407751,0.135560087,1.200447835,0.218200776,0.2955,5.007,-0.475135749,-0.3239,0.9627,0.693336524,0.6194,4.0443
0.75862069,0.720289422,-1.14E-16,5.0248,125.475,-2.01E-18,0.088154386,2.201315789,0.091561814,0.199234102,1.320653097,0.217266499,0.8612,6.92,-0.469155848,-0.5443,1.057,0.686422347,1.4055,5.863
0.782608696,0.744752175,1.39E-16,3.7165,89.757,3.38E-18,0.090646341,2.189195122,0.14158819,0.119563646,1.204741126,0.192987434,0.1836,5.007,-0.477963734,-0.2783,1.057,0.670951168,0.4619,3.95
0.352941176,0.352593662,5.83E-16,2.2831,68.643,1.49E-17,0.058541026,1.760076923,0.139867555,0.134129709,1.028892818,0.192645165,0.1836,5.007,-0.478334762,-0.2783,1.057,0.670979927,0.4619,3.95
0.315789474,0.315460705,-1.67E-16,3.0633,77.877,-3.70E-18,0.068073333,1.7306,0.130821231,0.127262805,0.992507876,0.192655586,0.1836,5.007,-0.478323029,-0.2783,1.057,0.670978615,0.4619,3.95
0.72,0.690602233,-2.78E-17,3.5659,95.007,-6.45E-19,0.082927907,2.209465116,0.136994534,0.120166745,1.185263553,0.193290949,0.1836,5.007,-0.474287296,-0.2783,1.057,0.667578245,0.4619,3.95
0.72,0.682275828,3.61E-16,4.3526,98.921,7.68E-18,0.092608511,2.104702128,0.133027356,0.113098923,1.171081423,0.198892326,0.1836,5.007,-0.477576426,-0.2783,1.057,0.676468752,0.4619,3.95
0.666666667,0.629470333,2.22E-16,4.0926,108.423,4.19E-18,0.077218868,2.045716981,0.12543601,0.123606515,1.143367376,0.198551658,0.1836,5.007,-0.477945687,-0.2783,1.057,0.676497345,0.4619,3.95
0.810810811,0.765077114,1.39E-17,7.8352,147.553,2.07E-19,0.116943284,2.202283582,0.116205075,0.081187877,1.1696891,0.199541175,0.1836,5.007,-0.469343607,-0.2783,1.057,0.668884782,0.4619,3.95
0.864864865,0.823697037,-2.50E-16,6.94878,142.875,-4.03E-18,0.112077097,2.304435484,0.125831964,0.086337596,1.186964135,0.211790062,0.1836,5.007,-0.468779386,-0.2783,1.057,0.680569447,0.4619,3.95
0.833333333,0.810683545,2.64E-16,3.6046,85.056,6.94E-18,0.094857895,2.238315789,0.158183913,0.145361663,1.215181037,0.273349888,0.4202,5.007,-0.471446199,-0.2783,1.057,0.744796087,0.6985,3.95
0.833333333,0.810683545,2.64E-16,3.6046,85.056,6.94E-18,0.094857895,2.238315789,0.158183913,0.145361663,1.215181037,0.273349888,0.4202,5.007,-0.471446199,-0.2783,1.057,0.744796087,0.6985,3.95
0.833333333,0.810683545,2.64E-16,3.6046,85.056,6.94E-18,0.094857895,2.238315789,0.158183913,0.145361663,1.215181037,0.273349888,0.4202,5.007,-0.471446199,-0.2783,1.057,0.744796087,0.6985,3.95
0.833333333,0.810683545,2.64E-16,3.6046,85.056,6.94E-18,0.094857895,2.238315789,0.158183913,0.145361663,1.215181037,0.273349888,0.4202,5.007,-0.471446199,-0.2783,1.057,0.744796087,0.6985,3.95
0.833333333,0.810683545,2.64E-16,3.6046,85.056,6.94E-18,0.094857895,2.238315789,0.158183913,0.145361663,1.215181037,0.273349888,0.4202,5.007,-0.471446199,-0.2783,1.057,0.744796087,0.6985,3.95
0.833333333,0.810683545,2.64E-16,3.6046,85.056,6.94E-18,0.094857895,2.238315789,0.158183913,0.145361663,1.215181037,0.273349888,0.4202,5.007,-0.471446199,-0.2783,1.057,0.744796087,0.6985,3.95
0.833333333,0.810683545,2.64E-16,3.6046,85.056,6.94E-18,0.094857895,2.238315789,0.158183913,0.145361663,1.215181037,0.273349888,0.4202,5.007,-0.471446199,-0.2783,1.057,0.744796087,0.6985,3.95
0.833333333,0.810683545,2.64E-16,3.6046,85.056,6.94E-18,0.094857895,2.238315789,0.158183913,0.145361663,1.215181037,0.273349888,0.4202,5.007,-0.471446199,-0.2783,1.057,0.744796087,0.6985,3.95
0.833333333,0.810683545,2.64E-16,3.6046,85.056,6.94E-18,0.094857895,2.238315789,0.158183913,0.145361663,1.215181037,0.273349888,0.4202,5.007,-0.471446199,-0.2783,1.057,0.744796087,0.6985,3.95
0.833333333,0.810683545,2.64E-16,3.6046,85.056,6.94E-18,0.094857895,2.238315789,0.158183913,0.145361663,1.215181037,0.273349888,0.4202,5.007,-0.471446199,-0.2783,1.057,0.744796087,0.6985,3.95
0.833333333,0.810683545,2.64E-16,3.6046,85.056,6.94E-18,0.094857895,2.238315789,0.158183913,0.145361663,1.215181037,0.273349888,0.4202,5.007,-0.471446199,-0.2783,1.057,0.744796087,0.6985,3.95
0.833333333,0.810683545,2.64E-16,3.6046,85.056,6.94E-18,0.094857895,2.238315789,0.158183913,0.145361663,1.215181037,0.273349888,0.4202,5.007,-0.471446199,-0.2783,1.057,0.744796087,0.6985,3.95
0.833333333,0.810683545,2.64E-16,3.6046,85.056,6.94E-18,0.094857895,2.238315789,0.158183913,0.145361663,1.215181037,0.273349888,0.4202,5.007,-0.471446199,-0.2783,1.057,0.744796087,0.6985,3.95
0.833333333,0.810683545,2.64E-16,3.6046,85.056,6.94E-18,0.094857895,2.238315789,0.158183913,0.145361663,1.215181037,0.273349888,0.4202,5.007,-0.471446199,-0.2783,1.057,0.744796087,0.6985,3.95
0.833333333,0.810683545,2.64E-16,3.6046,85.056,6.94E-18,0.094857895,2.238315789,0.158183913,0.145361663,1.215181037,0.273349888,0.4202,5.007,-0.471446199,-0.2783,1.057,0.744796087,0.6985,3.95
0.833333333,0.810683545,2.64E-16,3.6046,85.056,6.94E-18,0.094857895,2.238315789,0.158183913,0.145361663,1.215181037,0.273349888,0.4202,5.007,-0.471446199,-0.2783,1.057,0.744796087,0.6985,3.95
0.833333333,0.810683545,2.64E-16,3.6046,85.056,6.94E-18,0.094857895,2.238315789,0.158183913,0.145361663,1.215181037,0.273349888,0.4202,5.007,-0.471446199,-0.2783,1.057,0.744796087,0.6985,3.95
0.833333333,0.810683545,2.64E-16,3.6046,85.056,6.94E-18,0.094857895,2.238315789,0.158183913,0.145361663,1.215181037,0.273349888,0.4202,5.007,-0.471446199,-0.2783,1.057,0.744796087,0.6985,3.95
0.833333333,0.810683545,2.64E-16,3.6046,85.056,6.94E-18,0.094857895,2.238315789,0.158183913,0.145361663,1.215181037,0.273349888,0.4202,5.007,-0.471446199,-0.2783,1.057,0.744796087,0.6985,3.95
0.833333333,0.810683545,2.64E-16,3.6046,85.056,6.94E-18,0.094857895,2.238315789,0.158183913,0.145361663,1.215181037,0.273349888,0.4202,5.007,-0.471446199,-0.2783,1.057,0.744796087,0.6985,3.95
0.833333333,0.810683545,2.64E-16,3.6046,85.056,6.94E-18,0.094857895,2.238315789,0.158183913,0.145361663,1.215181037,0.273349888,0.4202,5.007,-0.471446199,-0.2783,1.057,0.744796087,0.6985,3.95
0.833333333,0.810683545,2.64E-16,3.6046,85.056,6.94E-18,0.094857895,2.238315789,0.158183913,0.145361663,1.215181037,0.273349888,0.4202,5.007,-0.471446199,-0.2783,1.057,0.744796087,0.6985,3.95
0.25,0.249714727,-2.78E-17,5.0138,100.962,-4.63E-19,0.083563333,1.6827,0.118240021,0.113540391,0.928358305,0.272995314,0.1836,5.007,-0.471817169,-0.2783,1.057,0.744812482,0.4619,3.95
0.25,0.249714727,-2.78E-17,5.0138,100.962,-4.63E-19,0.083563333,1.6827,0.118240021,0.113540391,0.928358305,0.272995314,0.1836,5.007,-0.471817169,-0.2783,1.057,0.744812482,0.4619,3.95
0.25,0.249714727,-2.78E-17,5.0138,100.962,-4.63E-19,0.083563333,1.6827,0.118240021,0.113540391,0.928358305,0.272995314,0.1836,5.007,-0.471817169,-0.2783,1.057,0.744812482,0.4619,3.95
0.25,0.249714727,-2.78E-17,5.0138,100.962,-4.63E-19,0.083563333,1.6827,0.118240021,0.113540391,0.928358305,0.272995314,0.1836,5.007,-0.471817169,-0.2783,1.057,0.744812482,0.4619,3.95
0.833333333,0.810683545,2.64E-16,3.6046,85.056,6.94E-18,0.094857895,2.238315789,0.158183913,0.145361663,1.215181037,0.273349888,0.4202,5.007,-0.471446199,-0.2783,1.057,0.744796087,0.6985,3.95
0.72,0.682275828,3.61E-16,4.3526,98.921,7.68E-18,0.092608511,2.104702128,0.133027356,0.113098923,1.171081423,0.198892326,0.1836,5.007,-0.477576426,-0.2783,1.057,0.676468752,0.4619,3.95
0.285714286,0.285403768,-8.33E-17,3.6994,87.041,-1.63E-18,0.072537255,1.706686275,0.12366212,0.121290245,0.96206462,0.198560517,0.1836,5.007,-0.477935735,-0.2783,1.057,0.676496252,0.4619,3.95
0.666666667,0.629470333,2.22E-16,4.0926,108.423,4.19E-18,0.077218868,2.045716981,0.12543601,0.123606515,1.143367376,0.198551658,0.1836,5.007,-0.477945687,-0.2783,1.057,0.676497345,0.4619,3.95
0.5625,0.531740724,-1.11E-16,2.58152,64.706,-3.27E-18,0.075927059,1.903117647,0.120001343,0.128562133,1.058237401,0.235262499,0.1836,5.007,-0.474088497,-0.3239,1.057,0.709350996,0.5075,3.95
0.72,0.682275828,3.61E-16,4.3526,98.921,7.68E-18,0.092608511,2.104702128,0.133027356,0.113098923,1.171081423,0.198892326,0.1836,5.007,-0.477576426,-0.2783,1.057,0.676468752,0.4619,3.95
0.72,0.682275828,3.61E-16,4.3526,98.921,7.68E-18,0.092608511,2.104702128,0.133027356,0.113098923,1.171081423,0.198892326,0.1836,5.007,-0.477576426,-0.2783,1.057,0.676468752,0.4619,3.95
0.72,0.682275828,3.61E-16,4.3526,98.921,7.68E-18,0.092608511,2.104702128,0.133027356,0.113098923,1.171081423,0.198892326,0.1836,5.007,-0.477576426,-0.2783,1.057,0.676468752,0.4619,3.95
0.72,0.682275828,3.61E-16,4.3526,98.921,7.68E-18,0.092608511,2.104702128,0.133027356,0.113098923,1.171081423,0.198892326,0.1836,5.007,-0.477576426,-0.2783,1.057,0.676468752,0.4619,3.95
0.666666667,0.629470333,2.22E-16,4.0926,108.423,4.19E-18,0.077218868,2.045716981,0.12543601,0.123606515,1.143367376,0.198551658,0.1836,5.007,-0.477945687,-0.2783,1.057,0.676497345,0.4619,3.95
0.666666667,0.629470333,2.22E-16,4.0926,108.423,4.19E-18,0.077218868,2.045716981,0.12543601,0.123606515,1.143367376,0.198551658,0.1836,5.007,-0.477945687,-0.2783,1.057,0.676497345,0.4619,3.95
0.666666667,0.629470333,2.22E-16,4.0926,108.423,4.19E-18,0.077218868,2.045716981,0.12543601,0.123606515,1.143367376,0.198551658,0.1836,5.007,-0.477945687,-0.2783,1.057,0.676497345,0.4619,3.95
